fec_committee_id	display_name	industry	current_tags	audited_sector	usd
C00007880	AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.	finance	finance+labor	credit_union	9413500
C00694323	WINRED	NONE	lobby	leadership_or_party_pac	8888520
C00040998	NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE	retail	retail+transportation	retail_general	8864500
C00002469	MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS	labor	defense+labor	labor_union	7493000
C00096156	HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE	manufacturing	defense+tech	industrial_manufacturing	7428000
C00010868	AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC)	real_estate	pharma+real_estate	engineering_construction	7143150
C00002972	NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION AMERICA'S ELECTRIC COOPERATIVES PAC	utilities	agriculture+oil_gas+retail	rural_electric_coop	6828399
C00035451	AIR LINE PILOTS ASSOCIATION PAC	labor	labor+transportation	labor_union	6291000
C00007542	INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS POLITICAL ACTION LEAGUE	labor	labor+transportation	labor_union	5881100
C00024968	AMERICAN OPTOMETRIC ASSOCIATION POLITICAL ACTION COMMITTEE	health	lobby+pharma	health_provider	5699849
C00211318	DELOITTE POLITICAL ACTION COMMITTEE	legal	finance+legal	accounting_consulting	5648000
C00227744	ERNST & YOUNG POLITICAL ACTION COMMITTEE	legal	finance+legal	accounting_consulting	5296000
C00467431	THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE	NONE	lobby	leadership_or_party_pac	5238000
C00004036	SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)	labor	agriculture+labor	labor_union	4733700
C00428052	MAJORITY COMMITTEE PAC--MC PAC	NONE	lobby	leadership_or_party_pac	4717500
C00027466	NRSC	NONE	lobby	leadership_or_party_pac	4239857
C00004812	MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC)	finance	finance+real_estate	mortgage_finance	4126250
C00193631	THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE	finance	agriculture+finance	bank	4081335
C00542365	TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)	manufacturing	transportation	auto_manufacturing	4066139
C00113811	NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION POLITICAL ACTION COMMITTEE	real_estate	labor	construction_contractor	3765000
C00448373	HUCK PAC	NONE	lobby	leadership_or_party_pac	3720000
C00089458	NATIONAL STONE, SAND & GRAVEL ASSOCIATION ROCKPAC	mining	agriculture+real_estate	hardrock_mining	3697000
C00441949	JSTREETPAC	lobby	legal+lobby	single_issue_advocacy	3693347
C00359539	AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE (SKINPAC)	health	lobby+pharma	health_provider	3619500
C00271338	AMERIPAC: THE FUND FOR A GREATER AMERICA	NONE	lobby	leadership_or_party_pac	3603900
C00076810	GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC)	manufacturing	transportation	auto_manufacturing	3603750
C00477653	COX ENTERPRISES PAC (COXPAC) INC.	tech	retail+tech	telecom_cable	3454000
C00002766	UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB	labor	labor+retail	labor_union	3444550
C00008268	TRANSPORT WORKERS UNION OF AMERICA POLITICAL CONTRIBUTIONS COMMITTEE	labor	labor+transportation	labor_union	3388000
C00010470	UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT	transportation	labor+transportation	railroad	3349547
C00411116	SPACE EXPLORATION TECHNOLOGIES CORP. PAC	defense	tech	aerospace_civil	3309000
C00140061	NATIONAL EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE / AMERICAN COLLEGE OF EMERGENCY PHYSICIANS	health	lobby+pharma	health_provider	3230700
C00267849	ALLIED PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE	labor	labor+transportation	labor_union	3195500
C00009985	NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC)	media	tech	media_entertainment	3174233
C00148031	CATERPILLAR INC. POLITICAL ACTION COMMITTEE (CATPAC)	manufacturing	defense+retail	industrial_manufacturing	3127500
C00563726	MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC	NONE	lobby+real_estate	leadership_or_party_pac	2979000
C00344234	PAC TO THE FUTURE	NONE	lobby	leadership_or_party_pac	2880000
C00617803	JOBS, EDUCATION, & FAMILIES FIRST  JEFF PAC	NONE	lobby	leadership_or_party_pac	2874500
C00639229	AMERICAN REVIVAL PAC	NONE	lobby	unknown_abstract_pac	2861800
C00592089	ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC	NONE	legal+lobby	leadership_or_party_pac	2821500
C00303339	NATIONAL ASSOCIATION OF REAL ESTATE INVESTMENT TRUSTS, INC. POLITICAL ACTION COMMITTEE	real_estate	finance+real_estate	real_estate	2798000
C00173153	AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED FUND (CRNA-PAC)	health	labor+pharma	health_provider	2705750
C00280222	KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC	legal	legal+lobby	accounting_consulting	2677350
C00480863	NATIONAL SHOOTING SPORTS FOUNDATION, INC. POLITICAL ACTION COMMITTEE (NSSF PAC)	lobby	retail	single_issue_advocacy	2570822
C00580068	PROGRESSIVE TURNOUT PROJECT	lobby	legal+lobby	ideological_advocacy	2532374
C00066472	AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION POLITICAL ACTION COMMITTEE (INSURING AMERICA PAC)	finance	finance+real_estate	insurance	2521900
C00552851	HOUSE FREEDOM FUND	NONE	lobby	leadership_or_party_pac	2471218
C00574970	FAIR SHOT PAC	NONE	legal+lobby	unknown_abstract_pac	2459104
C00250399	AUTOMOTIVE FREE INTERNATIONAL TRADE PAC	retail	transportation	retail_general	2458000
C00091561	NATIONAL ACTIVE AND RETIRED FEDERAL EMPLOYEES ASSOCIATION POLITICAL ACTION COM (NARFE-PAC)	NONE	labor	professional_assoc_other	2429500
C00346353	CRH AMERICAS, INC. PAC	manufacturing	real_estate	industrial_manufacturing	2421100
C00431361	TEACHERS INSURANCE ANNUITY ASSOCIATION OF AMERICA PAC (TIAA PAC)	finance	finance+labor	insurance	2417500
C00570226	SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC	NONE	defense	leadership_or_party_pac	2413500
C00573261	END CITIZENS UNITED	lobby	legal+lobby	single_issue_advocacy	2368160
C00340943	DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC)	health	labor+pharma	health_provider	2354000
C00002840	UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM) 'INT'L UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA UAW	labor	defense+labor	labor_union	2341900
C00064774	NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE	utilities	oil_gas	electric_utility	2338800
C00104299	JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE	finance	defense+finance	bank	2278000
C00204099	DEERE & COMPANY PAC (AKA JOHN DEERE PAC)	manufacturing	agriculture	industrial_manufacturing	2252000
C00084491	INTERNATIONAL FRANCHISE ASSOCIATION FRANCHISING POLITICAL ACTION COMMITTEE INC	lobby	retail	business_trade_assoc_multisector	2252000
C00409730	NEW DEMOCRAT COALITION ACTION FUND	NONE	lobby	leadership_or_party_pac	2223051
C00685297	ELECT DEMOCRATIC WOMEN	NONE	lobby	leadership_or_party_pac	2208690
C00196246	AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC)	health	legal	health_provider	2200000
C00350744	THE GOLDMAN SACHS GROUP, INC. POLITICAL ACTION COMMITTEE	finance	finance+tech	securities_investment	2187500
C00072025	NATIONAL RURAL LETTER CARRIERS' ASSOCIATION POLITICAL ACTION COMMITTEE	labor	agriculture+labor	labor_union	2173500
C00027532	AMERICAN MARITIME OFFICERS VOLUNTARY POLITICAL ACTION FUND	labor	transportation	labor_union	2064971
C00540187	INNOVATION POLITICAL ACTION COMMITTEE	NONE	tech	unknown_abstract_pac	2062000
C00271007	HUMANA INC. POLITICAL ACTION COMMITTEE	health	finance+pharma	health_insurer	2037400
C00771246	JOHNSON LEADERSHIP FUND	NONE	lobby	leadership_or_party_pac	2000000
C00363879	ENTERGY CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (ENPAC)	utilities	oil_gas	electric_utility	1995500
