fec_committee_id	display_name	industry	audited_sector
C00554444	ONE GAS, INC. PAC	utilities	gas_utility
C00381020	PORTLAND GENERAL ELECTRIC CO. BI-PARTISAN COMM.	utilities	electric_utility
C00125732	BLACK HILLS CORPORATION PAC	utilities	electric_utility
C00111310	EVERGY EMPLOYEE POWERPAC	utilities	electric_utility
C00161422	TECO ENERGY INC EMPLOYEES' PAC	utilities	electric_utility
C00144147	MISSISSIPPI POWER COMPANY FEDERAL PAC	utilities	electric_utility
C00153379	NV ENERGY PAC	utilities	electric_utility
C00082800	PACIFICORP - PACIFIC POWER/ROCKY MOUNTAIN POWER PAC	utilities	electric_utility
C00340455	ESSENTIAL UTILITIES, INC. PAC	utilities	gas_utility
C00041038	AVISTA EMPLOYEES FOR EFFECTIVE GOVERNMENT	utilities	electric_utility
C00025395	TXNM ENERGY, INC. EMPLOYEE PAC	utilities	electric_utility
C00102160	EVERSOURCE ENERGY PAC	utilities	electric_utility
C00083832	IDA-PAC (IDACORP)	utilities	electric_utility
C00102152	WASHINGTON GAS LIGHT COMPANY/SEMCO ENERGY EMPLOYEE PAC	utilities	gas_utility
C00337808	OGE ENERGY CORP EMPLOYEES PAC	utilities	electric_utility
C00524769	UNS ENERGY CORPORATION PAC	utilities	electric_utility
C00068056	NORTHWESTERN ENERGY MONTANA EMPLOYEE PAC	utilities	electric_utility
C00831206	SPIRE INC. FEDERAL PAC	utilities	gas_utility
C00847764	CLEARWAY ENERGY INC PAC	utilities	renewables
C00577155	APEX CLEAN ENERGY INC PAC	utilities	renewables
C00686949	PATTERN ENERGY GROUP INC. PAC	utilities	renewables
C00865378	MN8 ENERGY LLC PAC	utilities	renewables
C00743468	HOLTEC INTERNATIONAL ENERGY PAC	utilities	nuclear
C00167668	ARCH RESOURCES INC. PAC (ARCHPAC)	mining	coal_mining
C00279331	CORE NATURAL RESOURCES, INC. (CORE PAC)	mining	coal_mining
C00725804	HALLADOR ENERGY COMPANY PAC	mining	coal_mining
C00410985	MURRAY ENERGY CORPORATION PAC	mining	coal_mining
C00485003	CLOUD PEAK ENERGY RESOURCES LLC EMPLOYEE PAC	mining	coal_mining
C00381277	OHIO COAL ASSOCIATION PAC	mining	coal_mining
C00282459	LIGNITE ENERGY COUNCIL PAC	mining	coal_mining
C00303685	NORTH AMERICAN COAL CORP. PAC (NACPAC)	mining	coal_mining
C00745513	WEST VIRGINIANS FOR COAL	mining	coal_mining
C00807057	WARRIOR MET COAL, INC. FEDERAL PAC	mining	coal_mining
C00124016	HECLA MINING COMPANY/HECLA LIMITED PAC	mining	hardrock_mining
C00206672	NEWMONT CORPORATION PAC (NEWPAC)	mining	hardrock_mining
C00243675	RIO TINTO AMERICA INC. PAC	mining	hardrock_mining
C00320580	BARRICK GOLD OF NORTH AMERICA INC. EMPLOYEES PAF	mining	hardrock_mining
C00100289	GEORGIA MINING ASSOCIATION PAC	mining	hardrock_mining
C00235911	CHROMALLOY CORPORATION/CHROMALLOY GAS TURBINE LLC PAC	manufacturing	industrial_manufacturing
C00334581	KOMATSU MINING CORP. PAC	manufacturing	industrial_manufacturing
C00565309	MITSUBISHI POWER AMERICAS, INC. PAC	manufacturing	industrial_manufacturing
C00075994	ASHLAND LLC PAC FOR EMPLOYEES	manufacturing	chemicals
C00554071	CORN REFINERS ASSOCIATION PAC	agriculture	agribusiness_processor
C00630574	AMERICAN OLIVE OIL PRODUCERS ASSOCIATION FEDERAL PAC	agriculture	agriculture_trade_assoc
C00441311	CNG HOLDINGS, INC. PAC	finance	consumer_lending
C00375782	US ECOLOGY, INC. PAC	NONE	other_services
C00516724	JOBS, ENERGY AND OUR FOUNDING FATHERS PAC	NONE	leadership_or_party_pac
C00767863	AXNE PAC (AMERICANS X-PECT NEW ENERGY)	NONE	leadership_or_party_pac
C00684506	YUKON KUSKO PAC INC	NONE	leadership_or_party_pac
C00611400	NEW ENERGY IN WASHINGTON HOUSE PAC	NONE	leadership_or_party_pac
