official_id	full_name	first_name	tier	role_title	jurisdiction	is_active	stored_fec_id	verdict	total_rows	total_usd	own_rows	own_usd	cross_rows	cross_usd	diverted_rows	diverted_usd	trial_moved	trial_collided	trial_collision_rate	cross_amount_mismatch_rows	cross_suspect_excess_usd	cross_owner_excess_usd	same_person_owner_fec_ids	cross_person_owner_fec_ids	best_owner_name	best_owner_fec_id	best_owner_relation	best_owner_holding_usd	best_owner_shared_rows	owner_count	zero_owner_fec_ids	diverted_cycles	first_at	last_at
6113aa61-35a9-4010-86fe-8c27ac54a490	David Porter	David	elected	Federal Judge	US	true		DUPLICATED	6133	7391766.00	0	0.00	6133	7391766.00	0	0.00	473	5660	0.9229	0	0.00	0.00		S4CA00522,H8CA45130,H6CA41232	Katherine Porter	S4CA00522	CROSS	5693249.00	5660	3	H2CA33253,H2FL11182,H2ID02232,H2LA02255,H6TX18208,H6TX18216,H8VA02095,H8VA11088,P00012690,P40009631,S2MO00569		2019-02-19	2025-09-19
0b99d98e-42ca-466f-9c16-f751eacaf708	Heather Cooke	Heather	elected	Council Member	AUS	false	H4WI03169	DUPLICATED	4871	6001754.00	0	0.00	4871	6001754.00	0	0.00	203	4668	0.9583	260	17500.00	242534.00		H2WI03130,H4WI03169	Rebecca Cooke	H2WI03130	CROSS	6335566.00	4668	2	H0GA14071,H6FL21109,P40006116,S2NC00539		2022-06-06	2026-03-31
e9015ab5-913e-4f2c-a917-190ebd0dde22	Al Green	Al	elected	Representative	TX	true		MIXED	2026	3941878.00	680	1286478.00	1346	2655400.00	0	0.00	930	1096	0.5410	36	36450.00	22435.00	H4TX09095,H2TX29030	H8TN07076,H2IN01172,H6FL02299,S6OK04171,H6AR01155,H2FL08139	Mark Green	H8TN07076	CROSS	2133628.00	1096	8	H0CA08184,H2IL11181,H2MN24019,H2NY09136,H4UT02338,H6FL09294,H6SC86012,H6SC86020,H8MA03114,H8PA02102,H8TX22248,P00006478,P00010488,P00011551,S6CA01038,S6FL00681,S6IN00282		2019-01-07	2026-03-31
8f1e45d1-ec6f-426e-b49e-cb0198d24db0	David Coleman	David	elected	Council Member	AUS	false	H6TX10171	DUPLICATED	1002	2585174.00	0	0.00	1002	2585174.00	0	0.00	204	798	0.7964	7	21500.00	0.00		H4NJ12149,H4AL02097,H0AL02145,H4MO03213,H6TX10171,H0UT04043,H6TX08225,H6IL02280,H8NC02110,H6IN02155	Bonnie Coleman	H4NJ12149	CROSS	2063658.00	798	10	H2AL02182,H2MI13410,H4CO02128,H4GA13059,H8OK01124,P40006082,P40012189,P80008618,S0TX00431		2015-10-14	2026-02-11
ad80e520-5642-417b-89bc-015746611da0	Beverly Andrews	Beverly	elected	Council Member	AUS	false	S6SC04239	DUPLICATED	2705	2254585.00	0	0.00	2705	2254585.00	0	0.00	176	2529	0.9349	134	0.00	85128.00		S6SC04239,H4CO03316,H0VA10186,H2SC01127,H0NJ01066,H2OK02307	Annie Andrews	S6SC04239	CROSS	2511558.00	2529	6	H2CA09162,H2KY05193,S4TX00763,S8NJ00392		2020-04-20	2026-03-31
a3137bf0-c622-4216-a962-bc4e9a924c8c	Gregory Phillips	Gregory	elected	Federal Judge	US	true		DUPLICATED	1484	2121088.00	0	0.00	1484	2121088.00	0	0.00	418	1066	0.7183	49	93300.00	0.00		P40016131,H8MN03143,S4NV00262,S6WV00170,H6NY22098	Dean Phillips	P40016131	CROSS	1330359.00	1066	5	H0IA02198,H0NJ07253,H2CA12166,H2OR01265,H4CA01090,H4NC13181,H6CA32165,H6MO01329,H6VA08302,H8TN04099,P00011619,P00015123,P40012429,P80007214		2019-01-15	2026-02-27
83e45cae-7ac0-4934-9a5a-64ad81a23eed	Radhika Fox	Radhika	elected	Council Member	SF	false	P60005303	DUPLICATED	1813	1975721.00	0	0.00	1813	1975721.00	0	0.00	0	1813	1.0000	0	0.00	0.00		H4FL13200	Whitney Fox	H4FL13200	CROSS	1975721.00	1813	1	H0CA18084,H0CA53156,H2CA16167,H2PA18226,H2RI02176,H4CA18094,H6CA20244,H6WA06286,P00008318,P00011809,P40005894,P60005303,P60023751,S2FL00680		2023-09-23	2024-12-03
42305735-9ea0-4c1d-a56d-c7110fc28e7b	Richard Greene	Richard	elected	Council Member	SEA	false	H4TN07174	MIXED	2028	1961461.00	0	0.00	2025	1960261.00	3	1200.00	5	2023	0.9975	0	0.00	0.00		H0GA06192,H8AZ05154	Marjorie Greene	H0GA06192	CROSS	1958461.00	2023	2	H0OK05197,H2NJ19031,H4TN07174,H8KY01058,H8WA08064,P00005868,P00017061,S0GA00724	2024	2019-12-26	2024-12-31
d70801cf-9567-41ca-9eb3-6ee91e399e30	Brandon Williamson	Brandon	elected	Council Member	AUS	false	H6VA02156	DUPLICATED	1408	1913472.00	0	0.00	1408	1913472.00	0	0.00	124	1284	0.9119	1	0.00	250.00		P00009910,H6VA02156	Marianne Williamson	P00009910	CROSS	1799492.00	1284	2	H2AZ06254,H4CA33085,H6NC12147,H8IN06145		2020-01-21	2025-11-08
9cce6e52-d750-44e7-89b4-8ff2ba694c98	Stuart Duncan	Stuart	elected	Federal Judge	US	true		DUPLICATED	718	1912303.00	0	0.00	718	1912303.00	0	0.00	3	715	0.9958	2	2000.00	0.00		H0SC03077,H8TN02069,H0IL15186	Jeffrey Duncan	H0SC03077	CROSS	1901803.00	715	3	H0CA50194,H4SC03145,H4TX18112,H6NC02114,H8TX08122,S6KY00195,S6KY00419,S6TX00339,S6TX00354		2019-02-06	2023-12-27
