holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
f29bbd4e-944f-4840-adbd-16a4706a3c02	Shontel M. Brown	Representative	elected	OH	H2OH11169	ACT	43960	43001	42957	48050874.00	0.9990	57	Sherrod Brown	S6OH00163	Candidate for Senator
b1db79b2-cf97-4cb1-8ecd-4d45df50d8a2	Raja Krishnamoorthi	Representative	elected	IL	H6IL08147	REFUSE-weak-overlap	8724	4233	3823	8584895.00	0.9031	4899	S Krishnamoorthi	S6IL00482	Candidate for Senator
a7913d40-d429-46f1-a50b-468ac89e2cd8	Anthony Vargas	Candidate for Representative	candidate	NE	H2NE02132	REFUSE-low-share	3633	3631	3332	4705020.00	0.9177	77	Juan Vargas	H2CA50026	Representative
63d9274b-6edc-4967-b0b2-f957a544e5b1	Kevin Mullin	Representative	elected	CA	H2CA14162	REFUSE-weak-overlap	2620	1307	1041	3397287.00	0.7965	11	Markwayne Mullin	S2OK00186	Candidate for Senator
1f984c1a-01ea-41be-bbe2-e49ccb6d0554	Andy Barr	Representative	elected	KY	H0KY06104	REFUSE-weak-overlap	5318	1713	1685	3321330.00	0.9837	2636	Garland Barr	S6KY00286	Candidate for Senator
24c6d9fc-c5f2-4dcb-8fff-9cd0b1612d10	Cory Mills	Representative	elected	FL	H2FL07156	ACT	3254	2248	2248	3229014.00	1.0000	353	Janet Mills	S6ME00407	Candidate for Senator
0b87ad8d-9d9c-4a0c-897a-22e5324d003d	Eugene Simon Vindman	Representative	elected	VA	H4VA07234	REFUSE-weak-overlap	10700	3083	2757	2557756.00	0.8943	7956	Alexander Vindman	S6FL00855	Candidate for Senator
4e0835b8-b841-40ee-8b4e-3bfaeab27afe	Randy Fine	Representative	elected	FL	H6FL06258	ACT	3055	1888	1850	2415308.00	0.9799	306	Laura Fine	H6IL09194	Candidate for Representative
4ff7bf63-97d7-4ea6-978a-dee5ab277420	Sam Graves	Representative	elected	MO	H0MO06073	REFUSE-weak-overlap	2215	610	402	2348321.00	0.6590	57	Garret Graves	H4LA06153	Candidate for Representative
66fb4e28-9a73-47f0-b5b5-58f747ab246e	Jason Smith	Representative	elected	MO	H4MO08162	REFUSE-weak-overlap	3663	1025	338	1931225.00	0.3298	74	Adrian Smith	H6NE03115	Representative
054f428d-aea9-4482-bd21-15fa878d1c83	Clay Higgins	Representative	elected	LA	H6LA03148	ACT	904	476	453	1639210.00	0.9517	56	Brian Higgins	H4NY27076	Candidate for Representative
