holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
b1db79b2-cf97-4cb1-8ecd-4d45df50d8a2	Raja Krishnamoorthi	Representative	elected	IL	H6IL08147	REFUSE-weak-overlap	12674	4233	3823	8584895.00	0.9031	8849	S Krishnamoorthi	S6IL00482	Candidate for Senator
a7913d40-d429-46f1-a50b-468ac89e2cd8	Anthony Vargas	Candidate for Representative	candidate	NE	H2NE02132	REFUSE-low-share	5371	3631	3332	4705020.00	0.9177	186	Juan Vargas	H2CA50026	Representative
63d9274b-6edc-4967-b0b2-f957a544e5b1	Kevin Mullin	Representative	elected	CA	H2CA14162	REFUSE-weak-overlap	3322	1311	1047	3415387.00	0.7986	18	Markwayne Mullin	S2OK00186	Candidate for Senator
1f984c1a-01ea-41be-bbe2-e49ccb6d0554	Andy Barr	Representative	elected	KY	H0KY06104	REFUSE-weak-overlap	6404	1714	1685	3321330.00	0.9831	3722	Garland Barr	S6KY00286	Candidate for Senator
24c6d9fc-c5f2-4dcb-8fff-9cd0b1612d10	Cory Mills	Representative	elected	FL	H2FL07156	ACT	3522	2248	2248	3229014.00	1.0000	621	Janet Mills	S6ME00407	Candidate for Senator
0b87ad8d-9d9c-4a0c-897a-22e5324d003d	Eugene Simon Vindman	Representative	elected	VA	H4VA07234	REFUSE-weak-overlap	10706	3083	2757	2557756.00	0.8943	7963	Alexander Vindman	S6FL00855	Candidate for Senator
4e0835b8-b841-40ee-8b4e-3bfaeab27afe	Randy Fine	Representative	elected	FL	H6FL06258	ACT	3058	1888	1852	2423308.00	0.9809	117	Laura Fine	H6IL09194	Candidate for Representative
66fb4e28-9a73-47f0-b5b5-58f747ab246e	Jason Smith	Representative	elected	MO	H4MO08162	REFUSE-weak-overlap	4537	1071	399	2256475.00	0.3725	66	Adrian Smith	H6NE03115	Representative
ef1811ae-882c-428e-b904-9ca6f2a48681	Jim Banks	Senator	elected	IN	S4IN00196	REFUSE-weak-overlap	3051	507	492	1817556.00	0.9704	89	James Banks	H6IN03229	Candidate for Representative
f29bbd4e-944f-4840-adbd-16a4706a3c02	Shontel M. Brown	Representative	elected	OH		REFUSE-weak-overlap	1153	234	231	1792260.00	0.9872	0	Sherrod Brown	S6OH00163	Candidate for Senator
054f428d-aea9-4482-bd21-15fa878d1c83	Clay Higgins	Representative	elected	LA	H6LA03148	REFUSE-weak-overlap	1231	476	453	1639210.00	0.9517	102	Brian Higgins	H4NY27076	Candidate for Representative
efd0cd51-0f21-4f54-a702-2aaf762a0368	Gary C. Peters	Senator	elected	MI	H8MI09068	REFUSE-weak-overlap	2237	390	387	1614670.00	0.9923	1	Scott H. Peters	H2CA52089	Representative
4ff7bf63-97d7-4ea6-978a-dee5ab277420	Sam Graves	Representative	elected	MO	H0MO06073	REFUSE-weak-overlap	2698	626	273	1552372.00	0.4361	83	Garret Graves	H4LA06153	Candidate for Representative
ee27066e-5f25-4abd-85c1-2a98de6e5bf6	Mike Collins	Representative	elected	GA		REFUSE-weak-overlap	1534	756	741	1451169.00	0.9802	0	Michael Collins	S6GA00390	Candidate for Senator
77e50adb-f015-422f-88db-b96e052b22c3	S Krishnamoorthi	Candidate for Senator	candidate	IL	S6IL00482	REFUSE-low-share	4543	4233	410	1422486.00	0.0969	17	Raja Krishnamoorthi	H6IL08147	Representative
52bce3fa-b134-4e85-abb5-299318fb9d48	Jack Reed	Senator	elected	RI	S6RI00163	REFUSE-weak-overlap	2645	464	392	1415225.00	0.8448	120	Thomas Reed	H0NY29054	Candidate for Representative
5201c5c4-7b93-4042-a74f-d494a20e74de	Aaron Bean	Representative	elected	FL	H2FL04211	REFUSE-weak-overlap	2764	792	785	1336227.00	0.9912	971	Melissa Bean	H6IL08329	Candidate for Representative
ee01e913-2a9c-439d-8757-669964f0849e	Sanford D. Bishop	Representative	elected	GA	H2GA02031	REFUSE-weak-overlap	3194	511	479	1263538.00	0.9374	382	James Bishop	H0NC09187	Candidate for Representative
f6fabb68-9331-468e-8ea2-f427f8cceaf8	David Scott	Representative	former	GA	H2GA13012	REFUSE-weak-overlap	1063	317	254	1223189.00	0.8013	77	Tim Scott	S4SC00240	Senator
b4cc5a22-9d33-4146-9d81-7cc6e5ff2124	Samuel Graves	Candidate for Representative	candidate	MO	H0MO06073	REFUSE-weak-overlap	890	198	198	1201848.00	1.0000	538	Garret Graves	H4LA06153	Candidate for Representative
8a916c94-dfa8-4971-90f8-2d005e0b7b56	Barry Moore	Representative	elected	AL	H8AL02171	REFUSE-weak-overlap	1379	387	369	1186868.00	0.9535	1011	Felix Moore	S6AL00476	Candidate for Senator
3e452271-e4d4-4bfe-a7a6-062fab2f5bea	Jeanne Shaheen	Senator	elected	NH	S0NH00219	REFUSE-weak-overlap	2362	749	733	1126738.00	0.9786	1017	Stefany Shaheen	H6NH01321	Candidate for Representative
e31db7c1-bd24-4b75-84a0-5a3a27c096c9	John W. Rose	Representative	elected	TN	H8TN06094	REFUSE-weak-overlap	1814	292	284	1095822.00	0.9726	169	Max Rose	H8NY11113	Candidate for Representative
348f51ce-7dfc-4d87-8c5b-0966ee16637e	Warren Davidson	Representative	elected	OH	H6OH08315	REFUSE-weak-overlap	2244	1067	1067	1089717.00	1.0000	964	Beth Davidson	H6NY17163	Candidate for Representative
06f1abdb-249b-480e-bd3b-addbbc17c8d0	Juan Vargas	Representative	elected	CA	H2CA50026	REFUSE-low-share	4546	3631	296	1062566.00	0.0815	15	Anthony Vargas	H2NE02132	Candidate for Representative
1fce3e17-64a3-4be0-a692-bfa6063bba8b	Ted Budd	Senator	elected	NC	S2NC00505	REFUSE-weak-overlap	6078	275	264	1008692.00	0.9600	141	Theodore Budd	H6NC13129	Candidate for Representative
0136736d-20b7-4f3a-aa2b-c45b6e1ab8a1	Timothy Ryan	Candidate for Senator	candidate	OH	S2OH00402	REFUSE-weak-overlap	23305	394	394	1000397.00	1.0000	39	Patrick Ryan	H8NY19223	Representative
1b0abf70-b56f-48f0-8d02-fc67c736071c	Adrian Smith	Representative	elected	NE	H6NE03115	REFUSE-weak-overlap	2188	1071	252	977051.00	0.2353	28	Jason Smith	H4MO08162	Representative
7b3d1864-ce78-4b60-a664-78b1a1807a0b	David Joyce	Candidate for Representative	candidate	OH	H2OH14064	REFUSE-weak-overlap	809	210	209	948500.00	0.9952	1	John Joyce	H8PA13125	Representative
13d2bf6d-6a78-4835-b246-fbeed4a329de	David P. Joyce	Representative	elected	OH	H2OH14064	REFUSE-weak-overlap	2689	421	159	929765.00	0.3777	123	John Joyce	H8PA13125	Representative
cdc8ae79-9603-49ee-8fc7-4a16a46df2e5	Gary Peters	Candidate for Senator	candidate	MI	S4MI00355	REFUSE-weak-overlap	3293	403	185	862570.00	0.4591	100	Scott H. Peters	H2CA52089	Representative
737cb828-f289-4dda-9508-792e366c5a26	John Joyce	Representative	elected	PA	H8PA13125	REFUSE-weak-overlap	1777	421	163	815145.00	0.3872	26	David P. Joyce	H2OH14064	Representative
857e54c2-a43c-498f-8128-34ca6adbb14f	Susheela Jayapal	Candidate for Representative	candidate	OR	H4OR03150	REFUSE-dormant	836	836	815	790759.00	0.9749	24	Pramila Jayapal	H6WA07458	Representative
6a8536b9-811f-4ad2-b7bb-601ade45764f	Robin L. Kelly	Representative	elected	IL	H2IL02172	REFUSE-weak-overlap	2871	359	165	744550.00	0.4596	106	Mike Kelly	H0PA03271	Representative
