class	name_signal	survivor	role_title	state	district	surv_fec	stub	stub_fec	stub_rows	stub_cents_all	stub_cents_donation	surv_rows	surv_cents_donation	collide_keys	collide_frac_of_stub	stub_votes	stub_external_rels	stub_ec_nonmoney	surv_id	stub_id
A-double-claim	agrees	Raphael G. Warnock	Senator	GA	0	S0GA00559	Raphael Warnock	S0GA00559	775	22900705985	59348700	81520	6977296400	636	0.8206	0	0	41	09241404-0840-42a4-8c8a-2f885950660f	807b3336-e647-4a47-8404-df4792d89d4b
A-double-claim	agrees	Susan M. Collins	Senator	ME	0	S6ME00159	Susan Collins	S6ME00159	3903	7237940268	857375100	5575	1421025100	3854	0.9874	0	0	42	3e559d5c-0763-4f3f-b654-7ae93f1a2a93	c6825cc2-d15c-4e81-a3d3-a647ab0466e7
A-double-claim	agrees	Angela D. Alsobrooks	Senator	MD	0	S4MD00327	Angela Alsobrooks	S4MD00327	250	3650656123	129387000	13477	1513093000	250	1.0000	0	0	15	45498fc7-1b0c-4f16-b700-476b01792f83	05d69ad5-4d71-48b1-b514-d137f30fd357
A-double-claim	agrees	John W. Hickenlooper	Senator	CO	0	S0CO00575	John Hickenlooper	S0CO00575	2530	2916283517	497810000	3339	697420100	2500	0.9881	0	0	37	d5e8be45-e5ff-4a3f-84ac-23f9c6fcc3de	e808570b-613d-401a-9096-bb7e177112c3
A-double-claim	agrees	Jared F. Golden	Representative	ME	2	H8ME02185	Jared Golden	H8ME02185	1304	2110650277	291324400	6927	1252962400	1301	0.9977	0	0	0	299817e0-3cd9-4016-90af-56c0621c2683	97decde9-e49e-4ba7-b025-56a71836b9ef
A-double-claim	agrees	Margaret Wood Hassan	Senator	NH	0	S6NH00091	Margaret Hassan	S6NH00091	1112	1949696971	181544600	17627	2431410600	1112	1.0000	0	0	29	18c46a64-d7e4-4044-a3d9-d5329dd498db	8ad6e3b9-83b0-40ae-ba2c-35e69e65b19b
A-double-claim	agrees	Zachary Nunn	Representative	IA	3	H2IA03119	Zach Nunn	H2IA03119	1308	1762355253	473101200	3706	895132400	1308	1.0000	0	0	0	9a8c42ac-aa66-43ee-8015-02d8a5bc4c3c	fcaffcc5-5748-44d9-abb6-b7e3fe2e483c
A-double-claim	agrees	Katie Boyd Britt	Senator	AL	0	S2AL00145	Katie Britt	S2AL00145	1247	1686726214	244390900	6598	1443254600	1247	1.0000	0	0	36	833499a2-083c-47a0-b4c6-548f1aa3c03d	9a2a2c44-0b24-456c-b3c3-b626c3dccb38
A-double-claim	agrees	Jennifer A. Kiggans	Representative	VA	2	H2VA02064	Jennifer Kiggans	H2VA02064	1553	1547035784	437623700	4699	1002622500	1553	1.0000	0	0	0	60a002a0-733d-47b0-a9c4-935cf2ff7ba3	63f18ac1-be9c-4ff4-b123-2b4a254d4f18
A-double-claim	agrees	Don Bacon	Representative	NE	2	H6NE02125	Donald Bacon	H6NE02125	760	1504306680	282931800	4659	1098244000	760	1.0000	0	0	0	113e0cf2-d891-443d-9494-11c1e9189d39	04ae1610-c123-4fde-b3e9-b938d4d28629
A-double-claim	agrees	Robert P. Bresnahan	Representative	PA	8	H4PA08124	Rob Bresnahan	H4PA08124	231	1487829019	72262500	2063	459287000	231	1.0000	0	0	0	5508904f-aae2-44de-89d2-adf06d21ee13	2a02807a-8b4b-4729-bace-823249c1d86b
A-double-claim	agrees	Thomas R. Suozzi	Representative	NY	3	H6NY03247	Thomas Suozzi	H6NY03247	2578	1472973778	653695700	7374	1589495300	2577	0.9996	0	0	0	411ef11c-7e42-4245-8f2b-bce472921387	55e29b9d-55f6-48fe-bb14-56cff394baa7
A-double-claim	agrees	Thomas H. Kean	Representative	NJ	7	H0NJ07261	Thomas Kean	H0NJ07261	1604	1466318397	411213000	5057	1091624900	1597	0.9956	0	0	0	1625e7b3-448b-4c4d-b459-ca19eeaedbd5	e83f928e-f170-4f1a-8fc3-784e86592d81
A-double-claim	agrees	Troy E. Nehls	Representative	TX	22	H0TX22302	Troy Nehls	H0TX22302	361	1322872444	83252000	1334	256429000	355	0.9834	0	0	0	64c31391-3064-4ac4-9e2a-0de4e3000e76	9922bf05-4447-4d5e-9823-c4e84e74b014
A-double-claim	agrees	Stephanie I. Bice	Representative	OK	5	H0OK05205	Stephanie Bice	H0OK05205	793	1237215554	223780300	2543	545887000	779	0.9823	0	0	0	9e2bac3b-2909-469a-8c6f-5c7a26823e70	f373c550-6dd1-43a0-8fc5-c75353f162db
A-double-claim	agrees	Deb Fischer	Senator	NE	0	S2NE00094	Debra Fischer	S2NE00094	562	1122687237	261078800	3321	709891000	562	1.0000	0	0	6	d8399eec-61cb-4a96-ae9e-ddbf3b9c18e7	2fc0c3aa-fff1-4795-969a-90bf117976a4
A-double-claim	agrees	Jefferson Van Drew	Representative	NJ	2	H8NJ02166	Jeff Van Drew	H8NJ02166	892	1046256811	213115300	3498	729070000	883	0.9899	0	0	0	2c41c0cc-8095-4c8e-b63b-7d2aa48f3b15	e966ce8b-2467-4dce-91f5-39742efac473
A-double-claim	agrees	Lucy McBath	Representative	GA	6	H8GA06393	Lucia Mcbath	H8GA06393	623	999497493	141309700	4837	776207400	615	0.9872	0	0	0	d2f03361-6384-4538-b8c7-5ab0c96592c3	f2845026-52a7-417e-b175-58a142639bf3
A-double-claim	agrees	Janelle S. Bynum	Representative	OR	5	H4OR05304	Janelle Bynum	H4OR05304	1785	974713583	332949400	6115	811511700	1785	1.0000	0	0	0	3b9dc303-ace6-401e-9f5d-dad2e3073036	4f575e61-66ad-4dde-a7ef-59a09293bdf8
A-double-claim	agrees	John W. Mannion	Representative	NY	22	H4NY22085	John Mannion	H4NY22085	1269	800010455	269933000	3564	537650100	1269	1.0000	0	0	0	03200fc2-a0e5-4f47-aebe-b2ba86a5e2a4	e0f2f94d-593f-4227-a9f6-399eec8c4f95
A-double-claim	agrees	Christopher R. Deluzio	Representative	PA	17	H2PA17103	Christopher Deluzio	H2PA17103	1285	783308930	279084700	5265	829673300	1285	1.0000	0	0	0	27ee0faf-2c40-4dad-9c34-98652a4f4562	57508663-79d1-4b5e-a1d8-9e4676358437
A-double-claim	agrees	James C. Justice	Senator	WV	0	S4WV00332	James Justice	S4WV00332	203	718443616	105981300	1287	405780100	203	1.0000	0	0	36	206a7288-670c-4469-9244-f8a2af32639f	ccdc4e2b-bce5-4347-a882-5c9b671c8ba8
A-double-claim	agrees	Ryan K. Zinke	Representative	MT	1	H4MT01041	Ryan Zinke	H4MT01041	300	650198634	99493000	4333	673411700	300	1.0000	0	0	0	73dc0acf-c8a3-48e3-a7ae-f6071962cb4a	14e1930a-035f-4877-8ee3-d8ca5af1a14e
A-double-claim	agrees	Hillary J. Scholten	Representative	MI	3	H0MI03316	Hillary Scholten	H0MI03316	1364	595663506	308604900	6127	995637300	1356	0.9941	0	0	0	67e0e5f3-c20e-439b-b8c9-2e804aecf1df	69492cbb-c4fa-4607-8bf1-36cb82f447b6
A-double-claim	agrees	Daniel S. Goldman	Representative	NY	10	H2NY10308	Daniel Goldman	H2NY10308	2461	583134000	530776200	5055	1035120200	2461	1.0000	0	0	0	39f916d7-ced4-4d93-aa61-768cd37bca10	f39d5ef5-9585-43e6-92e9-95517dd984dd
A-double-claim	agrees	Gabe Vasquez	Representative	NM	2	H2NM02191	Gabriel Vasquez	H2NM02191	595	580464456	206976200	6867	1059174600	595	1.0000	0	0	0	b702d04f-3e0d-4a0e-8ec9-4448f9f293c0	526c3ff2-b622-4f96-bccb-69a2f003191c
A-double-claim	agrees	Robert F. Onder	Representative	MO	3	H4MO03221	Robert Onder	H4MO03221	97	567567936	24100000	661	170453800	97	1.0000	0	0	0	f7ca909b-38d6-408a-a045-4bd6c6c8e840	d9fc5b37-9a15-4015-860d-801a0a2a4a74
A-double-claim	agrees	Robert Menendez	Representative	NJ	8	H2NJ08232	Robert Menendez	H2NJ08232	1122	555010362	241620300	5278	980739300	1122	1.0000	0	0	0	ac7de9f0-be89-4def-8143-3597908f9658	b7da3e46-a86d-4e43-875a-9696e508bb07
A-double-claim	agrees	Tim Scott	Senator	SC	0	S4SC00240	Timothy Scott	S4SC00240	575	533727662	169948100	17418	3029513900	575	1.0000	0	0	37	5c52e3ca-3986-41c1-89f1-b2b27d099c5a	dc1b3e4c-4ba0-481f-abfd-ee911954baab
A-double-claim	agrees	Shelley Moore Capito	Senator	WV	0	S4WV00159	Shelley Capito	S4WV00159	1881	527622492	492874000	3020	843193100	1880	0.9995	0	0	34	32388aeb-d379-4297-be5c-3ea5e46ff3ea	67069dc0-8111-4b73-bb09-c0800c41c4e9
A-double-claim	agrees	Katherine M. Clark	Representative	MA	5	H4MA05084	Katherine Clark	H4MA05084	1306	496274800	496224800	3463	961489900	1305	0.9992	0	0	0	9220a26b-93a6-4b7c-bd29-acfb2544ba97	a6ba6b9c-0f7b-4767-bee8-4f7d8d2c6b42
A-double-claim	agrees	Blake D. Moore	Representative	UT	1	H0UT01205	Blake Moore	H0UT01205	1127	490774244	386549100	2468	687518700	1127	1.0000	0	0	0	4ae687b8-dd8a-480e-b6c4-45df9beac5d4	638571dc-dec4-4df6-98da-3bce61170451
A-double-claim	agrees	Angie Craig	Representative	MN	2	H6MN02131	Angela Craig	H6MN02131	788	447895801	299533500	11290	2181818400	788	1.0000	0	0	0	fb83472a-2d41-4988-8ed0-dd19cf6e0946	31830d8c-6e04-417a-a138-5d4b77f774be
