branch	decided_by	official_id	full_name	tier	is_active	role_title	jurisdiction	stored_fec_id	totals_table_cents	donation_cents	donation_rows	first_at	last_at	twin_id	twin_name	twin_tier	twin_fec_id	twin_fec_state	state_agrees	twin_total_cents	shared_pairs	overlap_frac
SAME-PERSON DUPLICATE	name	da5de9b1-2c03-4028-9e79-3cb89081aac8	Scott Wiener	elected	false	Council Member	SF	H8CA11116	269522200	269522200	1169	2023-03-01	2026-03-26	26be1547-1b37-40fb-b061-f9d7e451c481	Scott Wiener	candidate	H8CA11116	CA	false	432213600	1169	1.0000
SAME-PERSON DUPLICATE	seat	e9015ab5-913e-4f2c-a917-190ebd0dde22	Al Green	elected	true	Representative	TX		128647800	128647800	680	2019-01-16	2026-03-31	a92cfc2e-4214-49b0-b854-f35079002c6f	Alexander Green	candidate	H4TX09095	TX	true	202801500	679	0.9985
SAME-PERSON DUPLICATE	name	903facbb-ac16-47e4-a7df-60e2445ad9c6	Christine Jones	elected	false	Council Member	AUS	H6AR02286	35205100	35205100	473	2025-07-24	2026-02-11	c4761443-4156-4a2b-8549-2e7623c4438c	Chris Jones	candidate	H6AR02286	AR	false	78387400	473	1.0000
UNIQUE HOLDER		aa966e77-76e5-447a-ba19-2b3d72908ac0	Sarah Duffy	elected	false	Council Member	SF	H0WI07051	32459300	32459300	134	2019-01-15	2019-10-03								0	0.0000
UNIQUE HOLDER		dceef4b4-6358-45e9-a35f-e27fc8f52670	Alan Armstrong	elected	true	Senator	OK		16250000	16250000	28	2023-03-03	2024-06-03	31c4fb8d-6650-4389-b63e-76a042f50a2b	Kelly Armstrong	candidate	H8ND00096	ND	false	368398700	28	1.0000
SAME-PERSON DUPLICATE	name	cf260409-5d3f-48e8-b5da-6f85a40bc882	Connie Chan	elected	false	Council Member	SF	H6CA11268	15498800	15498800	146	2025-11-15	2026-03-30	e4fa1d4f-ea61-4b8d-8b44-b9617ad9b011	Connie Chan	candidate	H6CA11268	CA	false	60889700	146	1.0000
UNIQUE HOLDER		5d6241ea-951a-46ff-bebe-9499245e87e4	John Bush	elected	true	Federal Judge	US		11000000	11000000	21	2023-02-14	2024-08-01	a2b0463c-385a-41bd-8c2b-099149183d08	Cori Bush	candidate	H8MO01143	MO	false	451366300	21	1.0000
UNIQUE HOLDER		7bfb2e70-a017-4996-83fe-e01eede7a78b	Ken Bruce	elected	false	Council Member	SF	S2SC00145	7240000	7240000	22	2022-02-18	2022-07-27	cbd774b1-a652-4416-9f16-693db21a568e	Kalena Bruce	candidate	H2MO04173	MO	false	24582400	21	0.9545
UNIQUE HOLDER		9c74136e-221b-4926-90f7-060e8e38d17d	Louis Sarmiento	elected	false	Council Member	SF	H6TX09199	7219200	7219200	39	2025-11-14	2026-02-12	67d51cc2-f503-45a6-8bef-14ded78afcee	Crystal Sarmiento	candidate	H6TX09199	TX	false	7345200	39	1.0000
UNIQUE HOLDER		5db50d56-7d3d-42bc-a2e0-b89af2866d84	James May	elected	false	Council Member	AUS	H6TX19230	7093400	7093400	61	2022-10-05	2026-03-31	6cef7a5e-f700-44df-8efa-cc0855548f88	Karla May	candidate	S4MO00276	MO	false	5256000	45	0.7377
UNIQUE HOLDER		1dc4c7c9-3e23-47f5-8805-f6187904c20c	Brad Sinclair	elected	false	Council Member	AUS	H4TX28087	5555000	5555000	17	2022-01-21	2023-03-29	3518a831-0caf-4e2c-8e21-c10c49ae770e	Kyle Sinclair	candidate	H2TX20096	TX	false	27649100	10	0.5882
UNIQUE HOLDER		55034623-f55d-41e3-bc46-822568bda233	Jacqueline Nguyen	elected	true	Federal Judge	US		5500000	5500000	11	2023-02-28	2024-03-01	d1961c1f-db4b-413d-87bc-e5a0348cc72d	Kim Nguyen	candidate	H4CA45121	CA	false	28661200	11	1.0000
UNIQUE HOLDER		16e9152a-b560-44f3-a4bc-34eb4c8e98ee	Gabriel Cabrera	elected	false	Council Member	SF	H4MT02056	4810000	4810000	33	2023-09-05	2024-05-28	3aa074ea-9f88-489f-9182-9c7373b70cdb	Ming Cabrera	candidate	H4MT02056	MT	false	4810000	33	1.0000
UNIQUE HOLDER		cf1f7fb7-acf4-4351-b34d-5939b09440a2	Cassandra Costello	elected	false	Council Member	SF	S4ME00113	4238400	4238400	30	2019-03-12	2025-12-31	ec86f103-6968-426a-84fb-c8448e298c24	David Costello	candidate	S4ME00113	ME	false	4980000	28	0.9333
UNIQUE HOLDER		1d6d10d5-e312-45fc-a83b-45fd805fe32b	Jana Mims	elected	false	Council Member	AUS	H6TX09165	3835000	3835000	36	2025-09-21	2026-03-10	cfbff78f-4576-48d9-8bcf-5206786ce3b7	Dan Mims	candidate	H6TX09165	TX	false	3835000	36	1.0000
UNIQUE HOLDER		dc74b7bf-1a38-4576-9d1a-5b5161247c8b	Robert Moyer	elected	false	Council Member	SF	H6NE01135	3828100	3828100	43	2025-08-14	2026-03-19	7f28dc47-0909-4d1b-afaa-e852d318c385	Eric Moyer	candidate	H6NE01135	NE	false	4972600	43	1.0000
UNIQUE HOLDER		fadfdaa1-5de6-469d-b1a1-f8de5b2403fc	Emily Diamond	elected	false	Council Member	AUS	H2FL13220	3800000	3800000	14	2021-05-25	2022-04-13	33845e0e-b1ef-4a2e-82e4-2b902844f0d5	Ben Diamond	candidate	H2FL13220	FL	false	110569400	14	1.0000
UNIQUE HOLDER		c0b02046-39f3-4e8d-a492-039a73d9ea77	Mona Sanchez	elected	false	Council Member	AUS	H6CA38147	3675000	3675000	39	2025-11-13	2025-12-31	bb6d1bab-e31a-46c5-ba4f-0ba6126c4eac	Monica Sanchez	candidate	H6CA38147	CA	false	14800300	39	1.0000
UNIQUE HOLDER		f716ce68-832a-4ce6-991f-b516014548a8	Mayor Kirk Watson	elected	true	Council Member	AUS	H6NC08202	3381200	3381200	12	2019-03-14	2026-03-08	155faf72-025b-448d-ae25-067c0d710ff9	Colby Watson	candidate	H6NC08202	NC	false	950000	4	0.3333
UNIQUE HOLDER		5d123908-fc62-40fc-9e43-753fbd50b5d3	Michele Thompson	elected	false	Council Member	AUS	H6FL01275	3062100	3062100	21	2023-03-29	2025-01-24	9289c005-c009-4684-a445-cbd5247b0dbc	Michael Thompson	candidate	H6FL01275	FL	false	2912100	20	0.9524
