# FIX-935 — UNIQUE HOLDER write manifest (prod, 2026-09-05)
# source: 2026-09-05-fec-orphan-attribution.tsv
#
# WRITE SET IS EMPTY. 82 candidates, 0 accepted, 82 refused.
#   1 refused as the audit's low-confidence corner (would bind a surname twin's id) — $162,500
#   81 refused by roleMayHoldFecOffice() (Council Member / Federal Judge) — $1,635,504
#
# Criterion (i) of the plan is UNDERIVABLE, not merely unmet: fec_bulk
# financial_relationships rows carry fec_committee_id and never a cand_id, and
# no committee->candidate linkage exists in the database. See this script's
# header and the FIX-934 audit header for the two independent confirmations.
#
official_id	full_name	tier	is_active	role_title	jurisdiction	donation_rows	donation_cents	twin_name	twin_fec_id	overlap_frac	shared_pairs	derived_cand_id	row_share	office_check	collision_check	action	refusal_reason
aa966e77-76e5-447a-ba19-2b3d72908ac0	Sarah Duffy	elected	false	Council Member	SF	134	32459300	—	—	0.0000	0	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
dceef4b4-6358-45e9-a35f-e27fc8f52670	Alan Armstrong	elected	true	Senator	OK	28	16250000	Kelly Armstrong	H8ND00096	1.0000	28	—	n/a (no cand_id on FR rows)	PASS (role may hold S*)	not evaluated (no derived id)	REFUSED	audit low-confidence corner (overlap_frac 1.0000 >= cut 0.1667 vs surname twin 'Kelly Armstrong', shared under the absolute floor) — any id derived from these rows would be the twin's
5d6241ea-951a-46ff-bebe-9499245e87e4	John Bush	elected	true	Federal Judge	US	21	11000000	Cori Bush	H8MO01143	1.0000	21	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
7bfb2e70-a017-4996-83fe-e01eede7a78b	Ken Bruce	elected	false	Council Member	SF	22	7240000	Kalena Bruce	H2MO04173	0.9545	21	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
9c74136e-221b-4926-90f7-060e8e38d17d	Louis Sarmiento	elected	false	Council Member	SF	39	7219200	Crystal Sarmiento	H6TX09199	1.0000	39	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
5db50d56-7d3d-42bc-a2e0-b89af2866d84	James May	elected	false	Council Member	AUS	61	7093400	Karla May	S4MO00276	0.7377	45	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
1dc4c7c9-3e23-47f5-8805-f6187904c20c	Brad Sinclair	elected	false	Council Member	AUS	17	5555000	Kyle Sinclair	H2TX20096	0.5882	10	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
55034623-f55d-41e3-bc46-822568bda233	Jacqueline Nguyen	elected	true	Federal Judge	US	11	5500000	Kim Nguyen	H4CA45121	1.0000	11	—	n/a (no cand_id on FR rows)	FAIL (role 'Federal Judge' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Federal Judge' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
16e9152a-b560-44f3-a4bc-34eb4c8e98ee	Gabriel Cabrera	elected	false	Council Member	SF	33	4810000	Ming Cabrera	H4MT02056	1.0000	33	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
cf1f7fb7-acf4-4351-b34d-5939b09440a2	Cassandra Costello	elected	false	Council Member	SF	30	4238400	David Costello	S4ME00113	0.9333	28	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
1d6d10d5-e312-45fc-a83b-45fd805fe32b	Jana Mims	elected	false	Council Member	AUS	36	3835000	Dan Mims	H6TX09165	1.0000	36	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
dc74b7bf-1a38-4576-9d1a-5b5161247c8b	Robert Moyer	elected	false	Council Member	SF	43	3828100	Eric Moyer	H6NE01135	1.0000	43	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
fadfdaa1-5de6-469d-b1a1-f8de5b2403fc	Emily Diamond	elected	false	Council Member	AUS	14	3800000	Ben Diamond	H2FL13220	1.0000	14	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
c0b02046-39f3-4e8d-a492-039a73d9ea77	Mona Sanchez	elected	false	Council Member	AUS	39	3675000	Monica Sanchez	H6CA38147	1.0000	39	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
f716ce68-832a-4ce6-991f-b516014548a8	Mayor Kirk Watson	elected	true	Council Member	AUS	12	3381200	Colby Watson	H6NC08202	0.3333	4	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
5d123908-fc62-40fc-9e43-753fbd50b5d3	Michele Thompson	elected	false	Council Member	AUS	21	3062100	Michael Thompson	H6FL01275	0.9524	20	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
3a1a8054-b9e2-473c-a621-52c30e596188	Donna Hall	elected	false	Council Member	SF	38	3006800	Donyale Hall	H4DE00060	1.0000	38	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
04f47f04-edb5-4e0f-8089-c120e044fa4c	Marisela Reyes	elected	false	Council Member	AUS	10	2675000	Victor Reyes	H2NM01177	0.9000	9	—	n/a (no cand_id on FR rows)	FAIL (role 'Council Member' may hold no FEC id)	not evaluated (no derived id)	REFUSED	role 'Council Member' is not FEC-electable — roleMayHoldFecOffice() refuses; this is FIX-937's population, not FIX-935's
