# FIX-937 — non-federal-role officials carrying an FEC H/S/P CAND_ID (INACTIVE, prod, 2026-09-05)
# 115 officials, 62 holding fec_bulk donation rows
# 2,590 rows / $4,459,571.00
# with a federal official legitimately holding the same CAND_ID: 62
#
# A Council Member / Article III judge cannot stand for federal office, so the
# carried CAND_ID is not theirs and these donation rows are another person's money.
# REMEDIATION goes through the FIX-954 machinery (audit -> manifest -> apply ->
# rollup tail), NEVER a bare DELETE — the deleted rows' recipients must go dirty
# so jobid 24's donor-rollup regime rebuilds them.
#
official_id	full_name	role_title	tier	is_active	jurisdiction	carried_cand_id	federal_owner_id	federal_owner_name	federal_owner_role	fec_rows	fec_cents	cycles	first_at	last_at
da5de9b1-2c03-4028-9e79-3cb89081aac8	Scott Wiener	Council Member	elected	false	SF	H8CA11116	26be1547-1b37-40fb-b061-f9d7e451c481	Scott Wiener	Candidate for Representative	1169	269522200	1	2023-03-01	2026-03-26
903facbb-ac16-47e4-a7df-60e2445ad9c6	Christine Jones	Council Member	elected	false	AUS	H6AR02286	c4761443-4156-4a2b-8549-2e7623c4438c	Chris Jones	Candidate for Representative	473	35205100	1	2025-07-24	2026-02-11
aa966e77-76e5-447a-ba19-2b3d72908ac0	Sarah Duffy	Council Member	elected	false	SF	H0WI07051	1bc4cbd9-8bd1-4992-9f47-8721cc66e599	Sean Duffy	Candidate for Representative	134	32459300	1	2019-01-15	2019-10-03
cf260409-5d3f-48e8-b5da-6f85a40bc882	Connie Chan	Council Member	elected	false	SF	H6CA11268	e4fa1d4f-ea61-4b8d-8b44-b9617ad9b011	Connie Chan	Candidate for Representative	146	15498800	1	2025-11-15	2026-03-30
7bfb2e70-a017-4996-83fe-e01eede7a78b	Ken Bruce	Council Member	elected	false	SF	S2SC00145	27a6b2e2-c8a8-4983-b1b3-b1c95bac3a0c	Catherine Bruce	Candidate for Senator	22	7240000	1	2022-02-18	2022-07-27
9c74136e-221b-4926-90f7-060e8e38d17d	Louis Sarmiento	Council Member	elected	false	SF	H6TX09199	67d51cc2-f503-45a6-8bef-14ded78afcee	Crystal Sarmiento	Candidate for Representative	39	7219200	1	2025-11-14	2026-02-12
5db50d56-7d3d-42bc-a2e0-b89af2866d84	James May	Council Member	elected	false	AUS	H6TX19230	1b2c91d4-2282-4ae2-9b35-48bb599d4d54	Donald May	Candidate for Representative	61	7093400	3	2022-10-05	2026-03-31
1dc4c7c9-3e23-47f5-8805-f6187904c20c	Brad Sinclair	Council Member	elected	false	AUS	H4TX28087	134190d0-4661-4e1c-85de-eb430db8ba3b	Kyle Sinclair	Candidate for Representative	17	5555000	2	2022-01-21	2023-03-29
16e9152a-b560-44f3-a4bc-34eb4c8e98ee	Gabriel Cabrera	Council Member	elected	false	SF	H4MT02056	3aa074ea-9f88-489f-9182-9c7373b70cdb	Ming Cabrera	Candidate for Representative	33	4810000	1	2023-09-05	2024-05-28
cf1f7fb7-acf4-4351-b34d-5939b09440a2	Cassandra Costello	Council Member	elected	false	SF	S4ME00113	ec86f103-6968-426a-84fb-c8448e298c24	David Costello	Candidate for Senator	30	4238400	3	2019-03-12	2025-12-31
1d6d10d5-e312-45fc-a83b-45fd805fe32b	Jana Mims	Council Member	elected	false	AUS	H6TX09165	cfbff78f-4576-48d9-8bcf-5206786ce3b7	Dan Mims	Candidate for Representative	36	3835000	1	2025-09-21	2026-03-10
dc74b7bf-1a38-4576-9d1a-5b5161247c8b	Robert Moyer	Council Member	elected	false	SF	H6NE01135	7f28dc47-0909-4d1b-afaa-e852d318c385	Eric Moyer	Candidate for Representative	43	3828100	1	2025-08-14	2026-03-19
fadfdaa1-5de6-469d-b1a1-f8de5b2403fc	Emily Diamond	Council Member	elected	false	AUS	H2FL13220	33845e0e-b1ef-4a2e-82e4-2b902844f0d5	Ben Diamond	Candidate for Representative	14	3800000	1	2021-05-25	2022-04-13
c0b02046-39f3-4e8d-a492-039a73d9ea77	Mona Sanchez	Council Member	elected	false	AUS	H6CA38147	bb6d1bab-e31a-46c5-ba4f-0ba6126c4eac	Monica Sanchez	Candidate for Representative	39	3675000	1	2025-11-13	2025-12-31
