proname	class	claimed	claimed_ms	real_bound	real_basis	observed_calls	observed_mean_ms	observed_max_ms	observed_source	verdict	claimed_vs_real
add_citation	A	3s	3000	8000 ms	authenticated role 8s				pgss (no row)	unobserved	claimed tighter than real
add_evidence_card	A	3s	3000	8000 ms	authenticated role 8s				pgss (no row)	unobserved	claimed tighter than real
backfill_jurisdiction_boundary	B	30s	30000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)				pgss (no row)	unobserved	claimed LOOSER than real
check_sector_affinity_tag_staleness	B	60s	60000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)	4	381.1	475.9	pgss via pgrst_source	within	claimed LOOSER than real
chord_contract_flows_full	C2	300s	300000	21600000 ms	postgres role 6h, armed on the whole CALL				data_sync_log (no unit/arm row)	unobserved	claimed tighter than real
clear_financial_entity_rule_tags	D	120s	120000	script/enclosing-owned	the calling script's own SESSION SET (typically 90min or 0)	4		1606	pgss	within	
clear_private_person_card	D	5s	5000	script/enclosing-owned	the calling script's own SESSION SET (typically 90min or 0)				pgss (no row)	unobserved	
compute_alignment_score	B	3s	3000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)				pgss (no row)	unobserved	claimed tighter than real
create_investigation	A	3s	3000	8000 ms	authenticated role 8s				pgss (no row)	unobserved	claimed tighter than real
derive_nh_floterials	B	5min	300000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)	3		412.2	pgss outside pgrst_source	within	claimed LOOSER than real
entity_comments_bump_activity	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
entity_comments_flag_autotrip	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
entity_comments_refresh_rating_summary	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
entity_comments_stamp_answered	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
entity_statements_flag_autotrip	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
evidence_cards_corroboration_autotrip	E	3s	3000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
evidence_cards_flag_autotrip	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
evidence_cards_refresh_rating_summary	E	2s	2000	script/enclosing-owned	the enclosing statement's timer				pgss (no row)	unobserved	
expire_lapsed_grants	B	30s	30000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)	1	14.3	14.3	pgss via pgrst_source	within	claimed LOOSER than real
get_agency_page	A	3s	3000	3000 ms	anon role 3s	20	18.8	64.6	pgss via pgrst_source	within	equal
get_connection_type_counts	B	5s	5000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)	215	14.7	333.5	pgss via pgrst_source	within	claimed tighter than real
get_entity_comment_highlights	B	5s	5000	8000 ms	authenticator 8s, inherited by impersonated service_role (MEASURED)	1	43.2	43.2	pgss via pgrst_source	within	claimed tighter than real
get_entity_position_rollup	D	5s	5000	script/enclosing-owned	the calling script's own SESSION SET (typically 90min or 0)				pgss (no row)	unobserved	
get_entity_questions	A	5s	5000	3000 ms	anon role 3s	32	29.0	195.4	pgss via pgrst_source	within	claimed LOOSER than real
get_entity_statements	A	5s	5000	3000 ms	anon role 3s	1	15.7	15.7	pgss via pgrst_source	within	claimed LOOSER than real
get_financial_entity_naics	D	120s	120000	script/enclosing-owned	the calling script's own SESSION SET (typically 90min or 0)	4		106951.7	pgss	within	
get_gb_page	A	3s	3000	3000 ms	anon role 3s	24	30.6	192.2	pgss via pgrst_source	within	equal
