proname	identity	class	notes	claimed	real_bound	anon_x	auth_x	svc_x	is_trigger	proc_callers_commit	proc_callers_atomic	fn_callers	repo_rpc_sites	repo_other_sites	other_proconfig	other_md5
add_citation	add_citation(uuid,text,text,uuid,text)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/evidence/[id]/citations/route.ts	packages/data/src/seed/franklin/index.ts packages/data/src/seed/franklin/lib.ts apps/civitics/app/api/investigations/_lib.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
add_evidence_card	add_evidence_card(uuid,text,text,text,uuid,text,uuid,text,boolean,text,text,uuid,text)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/investigations/[id]/evidence/route.ts	packages/data/src/pipelines/moderation-harness/fixtures.ts packages/data/src/seed/franklin/index.ts packages/data/src/seed/franklin/lib.ts packages/data/src/__tests__/comment-kinds-drift.test.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
backfill_jurisdiction_boundary	backfill_jurisdiction_boundary(uuid,text)	B		30s	none (service_role, measured)	false	false	true					packages/data/src/pipelines/jurisdictions-boundary-backfill/index.ts		search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
check_sector_affinity_tag_staleness	check_sector_affinity_tag_staleness()	B		60s	none (service_role, measured)	false	false	true					packages/data/src/scripts/canary-check.ts	packages/data/src/pipelines/tags/rules.ts packages/data/src/scripts/verify-sector-affinity-trigger.ts	search_path=public	0249ac0d9fc5e40c25bd93ad085c3c77
chord_contract_flows_full	chord_contract_flows_full()	C2		300s	6h (postgres role, whole CALL)	false	false	true			refresh_contract_flow_rollups	chord_contract_flows			search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
clear_financial_entity_rule_tags	clear_financial_entity_rule_tags(text[])	D		120s	the script's own SET	false	false	true						packages/data/src/lib/heavy-rebuild.ts packages/data/src/pipelines/tags/ai-classifier.ts packages/data/src/pipelines/tags/industry-vocabulary.test.ts packages/data/src/pipelines/tags/rule-tag-transaction.test.ts	search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
clear_private_person_card	clear_private_person_card(uuid,uuid)	D		5s	the script's own SET	false	false	true						apps/civitics/app/api/admin/moderation/route.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
compute_alignment_score	compute_alignment_score(uuid,uuid)	B		3s	none (service_role, measured)	false	false	true					apps/civitics/app/api/graph/my-representatives/route.ts		search_path=public, pg_temp	eac5bef9b92039986bf93dc486753f77
create_investigation	create_investigation(text,text,text,uuid,text)	A		3s	8s (authenticated)	false	true	true					apps/civitics/app/api/investigations/route.ts	packages/data/src/seed/franklin/index.ts packages/data/src/__tests__/comment-kinds-drift.test.ts packages/db/src/comment-kinds.ts apps/civitics/app/api/investigations/_lib.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
derive_nh_floterials	derive_nh_floterials()	B		5min	none (service_role, measured)	false	false	true					packages/data/src/pipelines/districts-tiger/index.ts	packages/data/src/data/derive-nh-floterials.test.ts packages/data/src/scripts/fix914-migration-matches-fixture.test.ts packages/data/src/scripts/gen-fix914-migration.ts	search_path=public, extensions	50a3c9f0fe2bb73a46998a5a650db9c5
