# NOT AN AUTHORISATION. Added by hand (cc-126), above the header the audit
# writes, which says the opposite by default. These two manifests were cut as
# FIX-1182 experiment (2) -- to decompose FIX-1106 per source -- and NO apply is
# sanctioned against either. The apply is blocked on [[FIX-1182]] until a second
# complete emit run exists (Sun 2026-09-20). Re-cut against the current emit set
# before anything is ever applied from this slice.
# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-14T04:21:22.878Z
# cycle=2026 source=fec_bulk_pac run_id=0bda0cbe-8d98-550d-9945-a25ccc1dd722 complete_at=2026-09-14 00:23:01.687411+00
# emit set 111,890 keys; slice 134,652 rows / $506,122,862
# DROPPED-OUT 134 recipients / 20165 rows / $70,305,398
# PARTIAL     153 recipients / 2597 rows / $10,015,990
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
DROPPED-OUT	official	7212b945-321f-4ee6-9cb7-2ae21738aa04	Brian Fitzpatrick	530	224538800	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	c6825cc2-d15c-4e81-a3d3-a647ab0466e7	Susan Collins	427	206211300	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	bb1d2448-46c6-4a0a-b7b6-71f99f8c2f1f	David Valadao	485	191889200	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	67069dc0-8111-4b73-bb09-c0800c41c4e9	Shelley Capito	463	184839700	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	a6ba6b9c-0f7b-4767-bee8-4f7d8d2c6b42	Katherine Clark	343	175183800	2026-07-28 05:23:53.501267+00	0
DROPPED-OUT	official	fcaffcc5-5748-44d9-abb6-b7e3fe2e483c	Zach Nunn	425	172257700	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	55e29b9d-55f6-48fe-bb14-56cff394baa7	Thomas Suozzi	396	151626500	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	454f218d-3014-48e3-976e-3b634a88a525	Suzan Delbene	371	137474900	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	638571dc-dec4-4df6-98da-3bce61170451	Blake Moore	352	135500000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	f008765d-60b5-4aa2-9188-2a1415015831	Lisa Mcclain	335	133928700	2026-07-28 05:24:02.08605+00	0
PARTIAL	official	27090d3a-ed66-47de-8f45-24a262cf9e35	Roger Marshall	294	126596600	2026-05-11 05:46:56.929666+00	32
DROPPED-OUT	official	63f18ac1-be9c-4ff4-b123-2b4a254d4f18	Jennifer Kiggans	341	120647700	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	75f40cec-b911-4e9d-87a4-826c4cf03ae8	Terri Sewell	373	119275000	2026-05-11 05:14:00.159016+00	0
DROPPED-OUT	official	9d4ee021-790f-4a40-95e1-8c33c253f3e9	Richard Neal	320	118876300	2026-05-11 05:14:00.400764+00	0
DROPPED-OUT	official	ea1e5a06-9402-4631-ada5-19144cc91aa4	Carol Miller	381	118650000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	35cf5443-5559-4ce9-9a81-5e1a93edebb3	John Larson	303	118130000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	4b462f5c-7ad8-4eed-8027-3b4d28a8e05a	Don Davis	343	117133900	2026-05-11 05:13:59.93667+00	0
DROPPED-OUT	official	e83f928e-f170-4f1a-8fc3-784e86592d81	Thomas Kean	343	113147700	2026-07-28 05:24:02.08605+00	0
