# FIX-1187 — shared-CAND_ID merge manifest (shape A). THIS FILE IS AN AUTHORISATION.
#
# 151 (elected survivor, candidate stub) pairs that hold the SAME
# source_ids.fec_candidate_id and both hold money. Derived on the local prod-clone
# 2026-09-16; the population was re-derived READ-ONLY on prod the same day and is
# IDENTICAL (151 pairs, 151 distinct CAND_IDs, 151 distinct survivors, 151 distinct
# stubs — a clean 1:1:1). Every fact below is re-read keyed on (survivor, dup)
# inside the merge transaction by verifySharedIdInDb; a pair that has moved since
# is refused there and the run continues.
#
# Total stub money 2026-09-16: $926,589,966 across 99,217 rows. That figure
# reproduces the FIX-953 census of 2026-08-10 to the dollar, and the 2026
# fec_bulk_indiv slice (46,561 rows / $72,951,060 on 88 stubs) reproduces cc-126's
# prod measurement to the row. Every stub row was last written between 2026-05-13
# and 2026-07-28 and none since: these are frozen July snapshots left behind when
# FIX-941 handed the shared binding to the elected rows.
#
# IDENTITY IS THE CAND_ID, NOT THE SEAT. old_seat_verdict records what the FIX-953
# own-seat gate WOULD have said, so the 117 pass / 29 fail-district / 5 fail-office
# split stays visible — but the shared-id path deliberately does not apply it. The
# 34 refusals are exactly the cases where the id's encoded seat lags the person's
# current seat (redistricting; a House->Senate move), which is not evidence about
# identity for a pair selected by id equality.
#
# ATTACHMENTS ARE ZERO ON ALL 151, measured on BOTH clone and prod 2026-09-16
# (votes, career_history, committee memberships, promises, cosponsorships,
# comments, civic responses, lobbying, sponsored bills, proposal actions,
# external_relationships). FIX-1020's class is empty in this population.
#
# READ THIS BEFORE APPLYING — the collision tie-break. The design premised that
# the survivor's row is always the fresher one. IT IS NOT: on prod only 58,568 of
# 99,217 collisions (59.0%) are survivor-fresher, because updated_at moves only
# when a row's VALUE changes, so a row that is still correct keeps an old stamp.
# What IS true, measured on prod 2026-09-16 and on the clone, is strictly
# stronger for money: in EVERY cell, the count of collisions where the amounts
# DIFFER and the dup is fresher is ZERO. Where the two rows disagree on amount
# (8,456 rows on prod) the survivor is always the fresher one and already wins;
# where the dup wins the tie-break (40,649 rows) the amounts are identical and
# the outcome is the same either way. The existing keep-the-fresher rule is
# therefore money-safe here, but it is safe for a different reason than the one
# written down, and the >=99%-survivor-fresher gate in cc-128 does NOT pass.
# cc-129 must re-measure `diff_and_dup_fresher = 0` on prod immediately before
# applying and stop if it is not zero.
#
# stub_cents is the stub's FULL holding across all cycles and relationship types.
# colliding_rows / noncolliding_rows are keyed on
# (relationship_type, from_id, cycle_year) against the survivor, the same key as
# financial_relationships_relcycle_unique. Ordered by stub_cents descending, which
# is the order cc-129's sets are cut in.
survivor	dup	fec_id	name	survivor_name	dup_name	survivor_role	dup_role	state	old_seat_verdict	stub_rows	stub_cents	colliding_rows	noncolliding_rows	attachments
09241404-0840-42a4-8c8a-2f885950660f	807b3336-e647-4a47-8404-df4792d89d4b	S0GA00559	Raphael G. Warnock  <-  Raphael Warnock	Raphael G. Warnock	Raphael Warnock	Senator	Candidate for Senator	GA	pass	775	22900705985	636	139	0
3e559d5c-0763-4f3f-b654-7ae93f1a2a93	c6825cc2-d15c-4e81-a3d3-a647ab0466e7	S6ME00159	Susan M. Collins  <-  Susan Collins	Susan M. Collins	Susan Collins	Senator	Candidate for Senator	ME	pass	3903	7237940268	3854	49	0
a0f07226-4220-4e68-8c83-bb1ba7d5970a	bb1d2448-46c6-4a0a-b7b6-71f99f8c2f1f	H2CA20094	David G. Valadao  <-  David Valadao	David G. Valadao	David Valadao	Representative	Candidate for Representative	CA	fail-district	1691	3798908264	1684	7	0
45498fc7-1b0c-4f16-b700-476b01792f83	05d69ad5-4d71-48b1-b514-d137f30fd357	S4MD00327	Angela D. Alsobrooks  <-  Angela Alsobrooks	Angela D. Alsobrooks	Angela Alsobrooks	Senator	Candidate for Senator	MD	pass	250	3650656123	250	0	0
d5e8be45-e5ff-4a3f-84ac-23f9c6fcc3de	e808570b-613d-401a-9096-bb7e177112c3	S0CO00575	John W. Hickenlooper  <-  John Hickenlooper	John W. Hickenlooper	John Hickenlooper	Senator	Candidate for Senator	CO	pass	2530	2916283517	2500	30	0
299817e0-3cd9-4016-90af-56c0621c2683	97decde9-e49e-4ba7-b025-56a71836b9ef	H8ME02185	Jared F. Golden  <-  Jared Golden	Jared F. Golden	Jared Golden	Representative	Candidate for Representative	ME	pass	1304	2110650277	1301	3	0
18c46a64-d7e4-4044-a3d9-d5329dd498db	8ad6e3b9-83b0-40ae-ba2c-35e69e65b19b	S6NH00091	Margaret Wood Hassan  <-  Margaret Hassan	Margaret Wood Hassan	Margaret Hassan	Senator	Candidate for Senator	NH	pass	1112	1949696971	1112	0	0
9a8c42ac-aa66-43ee-8015-02d8a5bc4c3c	fcaffcc5-5748-44d9-abb6-b7e3fe2e483c	H2IA03119	Zachary Nunn  <-  Zach Nunn	Zachary Nunn	Zach Nunn	Representative	Candidate for Representative	IA	pass	1308	1762355253	1308	0	0
833499a2-083c-47a0-b4c6-548f1aa3c03d	9a2a2c44-0b24-456c-b3c3-b626c3dccb38	S2AL00145	Katie Boyd Britt  <-  Katie Britt	Katie Boyd Britt	Katie Britt	Senator	Candidate for Senator	AL	pass	1247	1686726214	1247	0	0
60a002a0-733d-47b0-a9c4-935cf2ff7ba3	63f18ac1-be9c-4ff4-b123-2b4a254d4f18	H2VA02064	Jennifer A. Kiggans  <-  Jennifer Kiggans	Jennifer A. Kiggans	Jennifer Kiggans	Representative	Candidate for Representative	VA	pass	1553	1547035784	1553	0	0
113e0cf2-d891-443d-9494-11c1e9189d39	04ae1610-c123-4fde-b3e9-b938d4d28629	H6NE02125	Don Bacon  <-  Donald Bacon	Don Bacon	Donald Bacon	Representative	Candidate for Representative	NE	pass	760	1504306680	760	0	0
5508904f-aae2-44de-89d2-adf06d21ee13	2a02807a-8b4b-4729-bace-823249c1d86b	H4PA08124	Robert P. Bresnahan  <-  Rob Bresnahan	Robert P. Bresnahan	Rob Bresnahan	Representative	Candidate for Representative	PA	pass	231	1487829019	231	0	0
411ef11c-7e42-4245-8f2b-bce472921387	55e29b9d-55f6-48fe-bb14-56cff394baa7	H6NY03247	Thomas R. Suozzi  <-  Thomas Suozzi	Thomas R. Suozzi	Thomas Suozzi	Representative	Candidate for Representative	NY	pass	2578	1472973778	2577	1	0
1625e7b3-448b-4c4d-b459-ca19eeaedbd5	e83f928e-f170-4f1a-8fc3-784e86592d81	H0NJ07261	Thomas H. Kean  <-  Thomas Kean	Thomas H. Kean	Thomas Kean	Representative	Candidate for Representative	NJ	pass	1604	1466318397	1597	7	0
64c31391-3064-4ac4-9e2a-0de4e3000e76	9922bf05-4447-4d5e-9823-c4e84e74b014	H0TX22302	Troy E. Nehls  <-  Troy Nehls	Troy E. Nehls	Troy Nehls	Representative	Candidate for Representative	TX	pass	361	1322872444	355	6	0
9e2bac3b-2909-469a-8c6f-5c7a26823e70	f373c550-6dd1-43a0-8fc5-c75353f162db	H0OK05205	Stephanie I. Bice  <-  Stephanie Bice	Stephanie I. Bice	Stephanie Bice	Representative	Candidate for Representative	OK	pass	793	1237215554	779	14	0
52c0344c-a9d6-4cf0-a2d3-56bce88f06a6	7212b945-321f-4ee6-9cb7-2ae21738aa04	H6PA08277	Brian K. Fitzpatrick  <-  Brian Fitzpatrick	Brian K. Fitzpatrick	Brian Fitzpatrick	Representative	Candidate for Representative	PA	fail-district	2003	1206355283	1991	12	0
d8399eec-61cb-4a96-ae9e-ddbf3b9c18e7	2fc0c3aa-fff1-4795-969a-90bf117976a4	S2NE00094	Deb Fischer  <-  Debra Fischer	Deb Fischer	Debra Fischer	Senator	Candidate for Senator	NE	pass	562	1122687237	562	0	0
2c41c0cc-8095-4c8e-b63b-7d2aa48f3b15	e966ce8b-2467-4dce-91f5-39742efac473	H8NJ02166	Jefferson Van Drew  <-  Jeff Van Drew	Jefferson Van Drew	Jeff Van Drew	Representative	Candidate for Representative	NJ	pass	892	1046256811	883	9	0
d2f03361-6384-4538-b8c7-5ab0c96592c3	f2845026-52a7-417e-b175-58a142639bf3	H8GA06393	Lucy McBath  <-  Lucia Mcbath	Lucy McBath	Lucia Mcbath	Representative	Candidate for Representative	GA	pass	623	999497493	615	8	0
3b9dc303-ace6-401e-9f5d-dad2e3073036	4f575e61-66ad-4dde-a7ef-59a09293bdf8	H4OR05304	Janelle S. Bynum  <-  Janelle Bynum	Janelle S. Bynum	Janelle Bynum	Representative	Candidate for Representative	OR	pass	1785	974713583	1785	0	0
97ff9034-0fae-495a-b9eb-8bec92187845	4b462f5c-7ad8-4eed-8027-3b4d28a8e05a	H2NC02287	Donald G. Davis  <-  Don Davis	Donald G. Davis	Don Davis	Representative	Candidate for Representative	NC	fail-district	833	972447438	833	0	0
03200fc2-a0e5-4f47-aebe-b2ba86a5e2a4	e0f2f94d-593f-4227-a9f6-399eec8c4f95	H4NY22085	John W. Mannion  <-  John Mannion	John W. Mannion	John Mannion	Representative	Candidate for Representative	NY	pass	1269	800010455	1269	0	0
27ee0faf-2c40-4dad-9c34-98652a4f4562	57508663-79d1-4b5e-a1d8-9e4676358437	H2PA17103	Christopher R. Deluzio  <-  Christopher Deluzio	Christopher R. Deluzio	Christopher Deluzio	Representative	Candidate for Representative	PA	pass	1285	783308930	1285	0	0
206a7288-670c-4469-9244-f8a2af32639f	ccdc4e2b-bce5-4347-a882-5c9b671c8ba8	S4WV00332	James C. Justice  <-  James Justice	James C. Justice	James Justice	Senator	Candidate for Senator	WV	pass	203	718443616	203	0	0
73dc0acf-c8a3-48e3-a7ae-f6071962cb4a	14e1930a-035f-4877-8ee3-d8ca5af1a14e	H4MT01041	Ryan K. Zinke  <-  Ryan Zinke	Ryan K. Zinke	Ryan Zinke	Representative	Candidate for Representative	MT	pass	300	650198634	300	0	0
67e0e5f3-c20e-439b-b8c9-2e804aecf1df	69492cbb-c4fa-4607-8bf1-36cb82f447b6	H0MI03316	Hillary J. Scholten  <-  Hillary Scholten	Hillary J. Scholten	Hillary Scholten	Representative	Candidate for Representative	MI	pass	1364	595663506	1356	8	0
39f916d7-ced4-4d93-aa61-768cd37bca10	f39d5ef5-9585-43e6-92e9-95517dd984dd	H2NY10308	Daniel S. Goldman  <-  Daniel Goldman	Daniel S. Goldman	Daniel Goldman	Representative	Candidate for Representative	NY	pass	2461	583134000	2461	0	0
b702d04f-3e0d-4a0e-8ec9-4448f9f293c0	526c3ff2-b622-4f96-bccb-69a2f003191c	H2NM02191	Gabe Vasquez  <-  Gabriel Vasquez	Gabe Vasquez	Gabriel Vasquez	Representative	Candidate for Representative	NM	pass	595	580464456	595	0	0
f7ca909b-38d6-408a-a045-4bd6c6c8e840	d9fc5b37-9a15-4015-860d-801a0a2a4a74	H4MO03221	Robert F. Onder  <-  Robert Onder	Robert F. Onder	Robert Onder	Representative	Candidate for Representative	MO	pass	97	567567936	97	0	0
ac7de9f0-be89-4def-8143-3597908f9658	b7da3e46-a86d-4e43-875a-9696e508bb07	H2NJ08232	Robert Menendez  <-  Robert Menendez	Robert Menendez	Robert Menendez	Representative	Candidate for Representative	NJ	pass	1122	555010362	1122	0	0
5c52e3ca-3986-41c1-89f1-b2b27d099c5a	dc1b3e4c-4ba0-481f-abfd-ee911954baab	S4SC00240	Tim Scott  <-  Timothy Scott	Tim Scott	Timothy Scott	Senator	Candidate for Senator	SC	pass	575	533727662	575	0	0
32388aeb-d379-4297-be5c-3ea5e46ff3ea	67069dc0-8111-4b73-bb09-c0800c41c4e9	S4WV00159	Shelley Moore Capito  <-  Shelley Capito	Shelley Moore Capito	Shelley Capito	Senator	Candidate for Senator	WV	pass	1881	527622492	1880	1	0
40d17da2-2254-4cd5-a7e8-c52f28257a03	7c34891f-9c82-4976-9739-78baeb0aaad6	H2NC06114	Valerie P. Foushee  <-  Valerie Foushee	Valerie P. Foushee	Valerie Foushee	Representative	Candidate for Representative	NC	fail-district	631	504931828	631	0	0
9220a26b-93a6-4b7c-bd29-acfb2544ba97	a6ba6b9c-0f7b-4767-bee8-4f7d8d2c6b42	H4MA05084	Katherine M. Clark  <-  Katherine Clark	Katherine M. Clark	Katherine Clark	Representative	Candidate for Representative	MA	pass	1306	496274800	1305	1	0
4ae687b8-dd8a-480e-b6c4-45df9beac5d4	638571dc-dec4-4df6-98da-3bce61170451	H0UT01205	Blake D. Moore  <-  Blake Moore	Blake D. Moore	Blake Moore	Representative	Candidate for Representative	UT	pass	1127	490774244	1127	0	0
fb83472a-2d41-4988-8ed0-dd19cf6e0946	31830d8c-6e04-417a-a138-5d4b77f774be	H6MN02131	Angie Craig  <-  Angela Craig	Angie Craig	Angela Craig	Representative	Candidate for Representative	MN	pass	788	447895801	788	0	0
7c4cd5a7-bdb3-414e-b67d-471de90dec13	d8f24b31-4ff6-4179-b6b2-52c83629647d	H0IN01150	Frank J. Mrvan  <-  Frank Mrvan	Frank J. Mrvan	Frank Mrvan	Representative	Candidate for Representative	IN	pass	1112	420103856	1109	3	0
a8beedce-d116-42e2-8416-140485446c89	bf66cecd-2ded-4fa7-9b9a-85fd83a730ca	H4CO03357	Jeff Hurd  <-  Jeffrey Hurd	Jeff Hurd	Jeffrey Hurd	Representative	Candidate for Representative	CO	pass	1090	416962067	1090	0	0
b7741259-ffea-4c27-b23d-891e1a6ace25	f008765d-60b5-4aa2-9188-2a1415015831	H0MI10287	Lisa C. McClain  <-  Lisa Mcclain	Lisa C. McClain	Lisa Mcclain	Representative	Candidate for Representative	MI	fail-district	1265	415223989	1263	2	0
6b2fea3f-b5fb-4903-b57a-2c6a5ae0401e	77e796df-611e-4a93-940f-a1cbade90b0f	S4NJ00185	Cory A. Booker  <-  Cory Booker	Cory A. Booker	Cory Booker	Senator	Candidate for Senator	NJ	pass	4483	406080100	4483	0	0
065a4bd2-412a-4abb-943e-1a643c309832	454f218d-3014-48e3-976e-3b634a88a525	H0WA08046	Suzan K. DelBene  <-  Suzan Delbene	Suzan K. DelBene	Suzan Delbene	Representative	Candidate for Representative	WA	fail-district	1479	404294048	1478	1	0
61380691-3fd3-4759-8b8c-9187547354d1	93d57e4b-6401-44c7-a1ed-2ef36fb4f1a0	H2OR04095	Val T. Hoyle  <-  Valerie Hoyle	Val T. Hoyle	Valerie Hoyle	Representative	Candidate for Representative	OR	pass	755	398114014	755	0	0
