# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:22:42.006Z
# cycle=2026 source=fec_bulk_indiv run_id=748aef69-4dd5-5cf9-bd75-570f482bc8dc complete_at=2026-09-21 00:20:29.915408+00
# emit set 1,015,185 keys; slice 1,059,817 rows / $1,314,241,322
# DROPPED-OUT 36 recipients / 19397 rows / $31,130,142
# PARTIAL     427 recipients / 25235 rows / $36,181,097
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	b1db79b2-cf97-4cb1-8ecd-4d45df50d8a2	Raja Krishnamoorthi	3756	829384500	2026-07-30 22:40:05.852089+00	687
DROPPED-OUT	official	cbf5b95a-40c7-4d55-a574-6aac7a641f73	Derek Dooley	1620	549081300	2026-08-24 04:44:20.314536+00	0
PARTIAL	official	fb83472a-2d41-4988-8ed0-dd19cf6e0946	Angie Craig	3381	508933800	2026-05-25 07:25:14.069004+00	351
DROPPED-OUT	official	0e8eb264-c9cd-4346-85f1-03fd88377e6e	Seth Moulton	1778	394448100	2026-07-10 06:08:28.559885+00	0
DROPPED-OUT	official	7f62648d-9697-4d97-98fa-59d7b4999f02	Chris Pappas	2760	373579700	2026-07-07 06:16:42.100142+00	0
PARTIAL	official	9e8dbddd-74d1-4d04-90b2-4682db860b6d	Haley M. Stevens	2344	365631500	2026-05-14 22:55:23.565666+00	455
DROPPED-OUT	official	1f984c1a-01ea-41be-bbe2-e49ccb6d0554	Andy Barr	1816	308249100	2026-05-14 22:55:23.565666+00	0
DROPPED-OUT	official	871e9b17-61dc-4e4a-9e17-d46258f27585	Zach Wahls	1828	262841800	2026-07-27 07:37:00.253738+00	0
PARTIAL	official	0b87ad8d-9d9c-4a0c-897a-22e5324d003d	Eugene Simon Vindman	2668	235422900	2026-07-30 22:40:05.852089+00	4655
PARTIAL	official	e7b73fea-7929-413a-b03a-21c519251875	Mary E. Miller	1485	220744500	2026-05-14 22:55:23.565666+00	619
DROPPED-OUT	official	f3623d0a-75ce-441f-af46-dfb275994710	Marlene Galan-Woods	1079	160427800	2026-08-24 04:43:56.832797+00	0
DROPPED-OUT	official	5cc3a04d-7a24-4472-9e32-ac5e07c9c532	Earl L. "Buddy" Carter	851	147057600	2026-05-14 22:55:23.565666+00	0
DROPPED-OUT	official	ee27066e-5f25-4abd-85c1-2a98de6e5bf6	Mike Collins	728	140347300	2026-05-25 07:25:14.069004+00	0
DROPPED-OUT	official	dd6e334e-ef46-4f39-b2d9-3df5a85094d2	Lindsey Graham	576	135494000	2026-07-13 07:11:45.000222+00	0
