# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:26:06.156Z
# cycle=2026 source=fec_bulk_pac run_id=2fe769fb-8307-5b02-9657-9799dfcc44ea complete_at=2026-09-20 22:54:52.472768+00
# emit set 112,592 keys; slice 114,893 rows / $440,080,672
# DROPPED-OUT 18 recipients / 315 rows / $1,290,240
# PARTIAL     194 recipients / 1986 rows / $7,811,207
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	63d9274b-6edc-4967-b0b2-f957a544e5b1	Kevin Mullin	265	99448700	2026-07-08 05:39:10.402921+00	164
DROPPED-OUT	official	dd6e334e-ef46-4f39-b2d9-3df5a85094d2	Lindsey Graham	165	83819300	2026-07-13 05:46:24.854879+00	0
PARTIAL	official	9e8dbddd-74d1-4d04-90b2-4682db860b6d	Haley M. Stevens	101	60175100	2026-05-10 06:06:56.645413+00	153
PARTIAL	official	7f62648d-9697-4d97-98fa-59d7b4999f02	Chris Pappas	107	55008500	2026-07-07 06:16:42.100142+00	68
PARTIAL	official	1f984c1a-01ea-41be-bbe2-e49ccb6d0554	Andy Barr	124	53830200	2026-05-10 06:06:54.820705+00	199
PARTIAL	official	5cc3a04d-7a24-4472-9e32-ac5e07c9c532	Earl L. "Buddy" Carter	118	40925000	2026-05-02 22:37:12.965096+00	174
PARTIAL	official	4a209d60-9d09-46a6-82d9-794b22ec0a69	Pete Ricketts	57	35700000	2026-09-13 22:55:58.411386+00	268
PARTIAL	official	47d96e85-fa6b-4705-a8b5-eb8094225d48	Ed Case	107	33900600	2026-07-18 04:53:17.987304+00	1
PARTIAL	official	fb83472a-2d41-4988-8ed0-dd19cf6e0946	Angie Craig	100	33374100	2026-05-10 06:06:55.766225+00	217
PARTIAL	official	b1db79b2-cf97-4cb1-8ecd-4d45df50d8a2	Raja Krishnamoorthi	68	29330000	2026-05-10 06:06:56.645413+00	123
PARTIAL	official	bd53f3dd-f6f9-4d8c-a0c0-3b13d33b8093	Laura Gillen	90	28600000	2026-09-14 23:42:16.15347+00	211
PARTIAL	official	fed7caaa-0d38-45a8-a7f9-20ea8cfe4fb9	Glenn Ivey	86	27100000	2026-09-14 23:40:52.049017+00	36
PARTIAL	official	8a916c94-dfa8-4971-90f8-2d005e0b7b56	Barry Moore	44	23927400	2026-09-01 00:31:01.587865+00	57
PARTIAL	official	0104dd77-938f-4f0f-aa18-cb5c04b51f1d	Keith Self	57	15063100	2026-09-13 22:55:58.411386+00	15
