query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
SELECT * FROM public.rebuild_entity_connections_donations(),postgres,5,3021700.4647952,1552830.173993,4048000.075777,15108502.323976,5,96.7798642834689303,17.717210837714227,null
"WITH pgrst_source AS (INSERT INTO ""public"".""financial_relationships""(""amount_cents"", ""cycle_year"", ""ended_at"", ""from_id"", ""from_type"", ""metadata"", ""occurred_at"", ""relationship_type"", ""source_url"", ""started_at"", ""to_id"", ""to_type"") SELECT ""pgrst_body"".""amount_cents"", ""pgrst_body"".""cycle_year"", ""pgrst_body"".""ended_at"", ""pgrst_body"".""from_id"", ""pgrst_body"".""from_type"", ""pgrst_body"".""metadata"", ""pgrst_body"".""occurred_at"", ""pgrst_body"".""relationship_type"", ""pgrst_body"".""source_url"", ""pgrst_body"".""started_at"", ""pgrst_body"".""to_id"", ""pgrst_body"".""to_type"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""amount_cents"", ""cycle_year"", ""ended_at"", ""from_id"", ""from_type"", ""metadata"", ""occurred_at"", ""relationship_type"", ""source_url"", ""started_at"", ""to_id"", ""to_type"" FROM json_to_recordset(pgrst_payload.json_data) AS _(""amount_cents"" bigint, ""cycle_year"" integer, ""ended_at"" date, ""from_id"" uuid, ""from_type"" text, ""metadata"" jsonb, ""occurred_at"" date, ""relationship_type"" public.financial_relationship_type, ""source_url"" text, ""started_at"" date, ""to_id"" uuid, ""to_type"" text) ) pgrst_body WHERE set_config($2, (coalesce(nullif(current_setting($3, $4), $5)::int, $6) + $7)::text, $8) <> $9 ON CONFLICT(""relationship_type"", ""from_id"", ""to_id"", ""cycle_year"") DO UPDATE SET ""amount_cents"" = EXCLUDED.""amount_cents"", ""cycle_year"" = EXCLUDED.""cycle_year"", ""ended_at"" = EXCLUDED.""ended_at"", ""from_id"" = EXCLUDED.""from_id"", ""from_type"" = EXCLUDED.""from_type"", ""metadata"" = EXCLUDED.""metadata"", ""occurred_at"" = EXCLUDED.""occurred_at"", ""relationship_type"" = EXCLUDED.""relationship_type"", ""source_url"" = EXCLUDED.""source_url"", ""started_at"" = EXCLUDED.""started_at"", ""to_id"" = EXCLUDED.""to_id"", ""to_type"" = EXCLUDED.""to_type""WHERE set_config($10, (coalesce(nullif(current_setting($11, $12), $13)::int, $14) - $15)::text, $16) <> $17 RETURNING $18) SELECT $19 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, $20::text AS body, nullif(current_setting($21, $22), $23) AS response_headers, nullif(current_setting($24, $25), $26) AS response_status, nullif(current_setting($27, $28),$29)::int AS response_inserted FROM (SELECT * FROM pgrst_source) _postgrest_t",service_role,17145,791.676674284222,2.630457,7983.674318,13573296.580603,17145,94.6218713623932801,15.916928900341407,null
SELECT * FROM public.rebuild_entity_connections(),postgres,17,489130.421447118,14684.485037,914871.484188,8315217.164601,189,97.2600309430228600,9.75096356392831,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM ""public"".""get_connection_type_counts""() pgrst_call) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_status, $11 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""   LIMIT $1 OFFSET $2) _postgrest_t",service_role,1038,5933.91029170328,0.042084,63241.478036,6159398.88278799,1038,17.3289820218547186,7.222911066887136,null
"WITH pgrst_source AS (INSERT INTO ""public"".""financial_entities""(""canonical_name"", ""display_name"", ""donor_fingerprint"", ""entity_type"", ""fec_committee_id"", ""metadata"", ""total_donated_cents"", ""total_received_cents"") SELECT ""pgrst_body"".""canonical_name"", ""pgrst_body"".""display_name"", ""pgrst_body"".""donor_fingerprint"", ""pgrst_body"".""entity_type"", ""pgrst_body"".""fec_committee_id"", ""pgrst_body"".""metadata"", ""pgrst_body"".""total_donated_cents"", ""pgrst_body"".""total_received_cents"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""canonical_name"", ""display_name"", ""donor_fingerprint"", ""entity_type"", ""fec_committee_id"", ""metadata"", ""total_donated_cents"", ""total_received_cents"" FROM json_to_recordset(pgrst_payload.json_data) AS _(""canonical_name"" text, ""display_name"" text, ""donor_fingerprint"" text, ""entity_type"" text, ""fec_committee_id"" text, ""metadata"" jsonb, ""total_donated_cents"" bigint, ""total_received_cents"" bigint) ) pgrst_body WHERE set_config($2, (coalesce(nullif(current_setting($3, $4), $5)::int, $6) + $7)::text, $8) <> $9 ON CONFLICT(""donor_fingerprint"") DO UPDATE SET ""canonical_name"" = EXCLUDED.""canonical_name"", ""display_name"" = EXCLUDED.""display_name"", ""donor_fingerprint"" = EXCLUDED.""donor_fingerprint"", ""entity_type"" = EXCLUDED.""entity_type"", ""fec_committee_id"" = EXCLUDED.""fec_committee_id"", ""metadata"" = EXCLUDED.""metadata"", ""total_donated_cents"" = EXCLUDED.""total_donated_cents"", ""total_received_cents"" = EXCLUDED.""total_received_cents""WHERE set_config($10, (coalesce(nullif(current_setting($11, $12), $13)::int, $14) - $15)::text, $16) <> $17 RETURNING ""public"".""financial_entities"".""donor_fingerprint"", ""public"".""financial_entities"".""id"") SELECT $18 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, coalesce(json_agg(_postgrest_t), $19) AS body, nullif(current_setting($20, $21), $22) AS response_headers, nullif(current_setting($23, $24), $25) AS response_status, nullif(current_setting($26, $27),$28)::int AS response_inserted FROM (SELECT ""financial_entities"".""id"", ""financial_entities"".""donor_fingerprint"" FROM ""pgrst_source"" AS ""financial_entities""   ) _postgrest_t",service_role,6028,863.228287000665,11.129218,7994.076194,5203540.11404001,6028,95.1542374665999939,6.1020090096321855,null
"WITH pgrst_source AS ( SELECT ""public"".""proposals"".""id"" FROM ""public"".""proposals"" WHERE  ""public"".""proposals"".""metadata""->>$1 = $2   LIMIT $3 OFFSET $4 ) , pgrst_source_count AS (SELECT $7  FROM ""public"".""proposals"" WHERE  ""public"".""proposals"".""metadata""->>$5 = $6) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $8::text AS body, nullif(current_setting($9, $10), $11) AS response_headers, nullif(current_setting($12, $13), $14) AS response_status, $15 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,7229,679.112537629964,0.059774,2996.429014,4909304.53452701,7229,76.1445836816583627,5.756969264037007,null
"WITH pgrst_source AS ( SELECT ""public"".""votes"".""id"" FROM ""public"".""votes"" WHERE  ""public"".""votes"".""official_id"" = $1   LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5  FROM ""public"".""votes"" WHERE  ""public"".""votes"".""official_id"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $6::text AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,6421,554.504679071328,0.032204,2997.890316,3560474.54431701,6421,84.6511925125419183,4.175243636417443,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM ""public"".""get_quality_counts""() pgrst_call) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_status, $11 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""   LIMIT $1 OFFSET $2) _postgrest_t",service_role,801,4075.98067513233,49.595588,50715.79494,3264860.520781,801,85.2126676957771982,3.8285874378569096,null
SELECT * FROM public.rebuild_entity_connections_votes(),postgres,6,493343.805787667,281625.953069,602184.007842,2960062.834726,18,93.8051356050953236,3.471161880320725,null
SELECT * FROM public.rebuild_entity_connections_external(),postgres,8,356954.06051575,162820.025513,835335.936211,2855632.484126,8,93.9306362558036480,3.3487000704230976,null
